R;G;B;A;Count
188;73;23;255;24
100;66;52;255;35
132;88;69;255;22
122;148;221;255;8
167;223;251;255;99
245;185;66;0;62
206;83;0;255;32
241;111;11;255;63
243;148;38;255;47
249;212;141;255;32
245;185;66;255;88
126;0;0;255;18
253;240;216;255;43
244;113;113;255;7
122;88;77;255;40
159;118;104;255;49
91;65;57;255;2
71;7;75;255;17
191;123;199;255;2
238;152;152;255;40
204;126;126;255;25
227;243;251;255;9
176;200;210;255;5
209;201;130;255;20
231;226;155;255;22
255;115;115;255;65
213;96;96;255;37
162;75;75;255;52
255;178;178;255;13
37;37;37;0;19
17;17;17;255;231
17;17;17;0;3
59;107;203;255;270
35;67;127;255;320
72;72;72;0;4
72;72;72;255;31
95;95;95;255;6
52;52;52;255;69
153;153;153;255;1
157;84;76;255;50
199;119;106;255;55
111;59;54;255;18
235;191;239;255;11
85;0;0;255;11
201;189;74;255;89
204;204;29;255;7
152;83;81;255;74
178;112;110;255;338
143;111;134;255;113
171;147;164;255;25
100;78;94;255;22
115;113;113;255;18
174;225;252;255;8
112;161;188;255;46
80;160;200;255;17
69;63;63;255;6
62;120;150;255;18
142;140;140;255;21
123;183;213;255;4
76;76;76;255;134
54;47;45;255;79
44;37;35;255;14
54;47;45;0;70
31;24;23;255;117
255;255;255;64;41
255;255;255;128;16
87;135;231;255;242
99;90;100;255;33
139;128;141;255;135
89;84;90;255;44
127;122;128;255;38
175;170;175;255;5
124;121;124;255;1
198;151;81;255;63
150;118;70;255;118
113;88;52;255;71
255;239;203;255;5
255;207;147;255;102
220;227;210;255;11
114;136;84;255;2
171;188;147;255;8
126;9;52;255;59
95;6;39;255;26
235;99;0;255;140
131;127;127;255;13
39;32;32;255;1
70;64;64;255;2
132;128;128;255;1
255;255;135;128;18
255;255;183;255;15
255;255;154;255;1
192;186;208;255;54
164;156;187;255;64
157;157;157;255;12
119;179;103;255;114
71;135;51;255;188
35;91;19;255;51
178;164;184;255;21
205;196;209;255;15
139;118;148;255;6
244;239;232;255;5
213;199;246;255;34
185;167;228;255;43
125;118;153;255;27
47;103;27;255;134
27;75;11;255;44
87;11;87;255;46
200;208;248;255;12
158;115;102;0;4
158;115;102;255;48
169;144;136;255;80
146;86;69;255;13
152;92;85;255;83
183;132;126;255;95
119;72;67;255;22
255;215;159;255;58
251;103;0;255;36
19;59;7;255;14
162;86;37;255;46
200;107;46;255;22
114;60;26;255;30
151;35;35;255;43
101;29;29;255;28
90;8;8;0;10
255;255;255;27;156
96;26;36;0;3
116;25;25;164;48
193;193;193;0;4
0;0;8;255;43
131;41;41;255;37
254;226;136;255;18
27;55;103;255;114
148;144;161;255;6
254;131;255;255;55
255;160;255;255;41
253;76;255;255;15
247;207;95;255;138
35;215;31;255;252
255;233;255;255;43
238;220;227;255;24
171;142;160;255;8
186;136;136;255;33
223;182;178;255;11
145;83;83;255;13
216;93;93;255;20
228;141;141;255;14
83;174;226;255;53
65;139;175;255;45
145;164;173;255;70
199;223;239;255;38
164;199;118;255;12
0;24;24;0;132
0;24;24;255;245
110;91;82;255;35
56;32;16;255;19
104;180;204;255;13
247;255;255;255;6
0;64;64;255;16
84;56;12;255;14
91;56;137;255;6
255;75;75;255;16
255;231;191;255;109
51;107;139;255;46
94;42;20;255;36
118;82;77;255;28
148;104;97;255;31
49;0;203;255;9
82;106;254;255;6
114;134;255;255;21
200;200;240;255;30
147;147;147;255;19
85;79;79;255;4
70;68;68;255;21
175;79;0;255;7
191;144;144;255;8
133;99;99;255;3
155;155;203;255;11
195;195;227;255;14
204;170;143;255;24
184;137;100;255;17
154;107;70;255;14
128;101;71;255;17
152;121;85;255;12
149;133;152;255;12
128;110;131;255;4
119;71;7;255;222
87;43;7;255;257
153;156;169;255;92
197;199;206;255;86
114;118;136;255;16
92;57;17;255;57
71;44;13;255;40
39;24;7;255;16
21;104;15;255;86
187;103;97;255;56
204;141;137;255;74
229;197;195;255;11
160;75;69;255;14
190;141;85;255;44
80;64;38;255;24
132;106;63;255;8
247;195;79;255;151
150;105;6;255;36
147;99;7;255;123
131;71;59;255;35
102;55;45;255;22
75;35;7;255;7
107;107;107;255;13
161;161;160;255;2
77;69;100;255;8
83;175;227;255;165
59;123;163;255;18
177;160;4;255;24
91;154;150;255;58
133;102;96;255;38
133;56;2;255;1
78;58;54;255;7
55;86;83;255;2
0;107;107;255;36
88;133;105;255;22
252;183;137;255;7
6;60;60;255;1
54;74;59;255;13
201;182;104;255;16
137;32;32;255;28
0;255;255;8;32
255;255;255;31;1
0;255;255;47;13
0;255;255;23;27
0;255;255;32;19
255;255;255;68;2
255;255;255;79;2
0;255;255;91;2
0;255;255;90;7
255;255;255;22;1
0;255;255;62;6
0;255;255;76;4
255;255;255;114;2
255;255;255;125;1
0;255;255;136;3
0;255;255;132;5
255;255;255;65;1
255;255;255;47;1
0;255;255;22;19
0;255;255;116;5
0;255;255;139;3
255;255;255;160;2
255;255;255;172;1
0;255;255;180;3
0;255;255;173;1
255;255;255;127;192
255;255;255;105;1
0;255;255;45;9
0;255;255;194;2
255;255;255;208;2
255;255;255;212;1
0;255;255;214;2
0;255;255;215;1
0;255;255;211;3
255;255;255;188;1
255;255;255;168;2
255;255;255;149;1
0;255;255;125;3
0;255;255;98;6
0;255;255;42;12
0;255;255;74;9
0;255;255;109;4
0;255;255;218;1
0;255;255;229;3
255;255;255;233;1
255;255;255;236;3
0;255;255;237;5
0;255;255;236;1
255;255;255;216;2
255;255;255;204;1
0;255;255;184;2
0;255;255;159;3
0;255;255;135;4
0;255;255;88;4
0;255;255;130;2
0;255;255;162;4
0;255;255;195;2
0;255;255;240;2
0;255;255;243;4
0;255;255;249;3
255;255;255;251;3
0;255;255;250;3
255;255;255;243;2
255;255;255;235;1
0;255;255;227;2
0;255;255;210;3
0;255;255;188;4
0;255;255;145;1
0;255;255;182;4
0;255;255;212;2
0;255;255;230;1
0;255;255;244;3
0;255;255;252;4
0;255;255;255;163
255;255;255;254;1
255;255;255;250;3
0;255;255;245;2
0;255;255;228;1
0;255;255;213;3
255;255;255;158;1
0;255;255;222;3
0;255;255;238;1
0;255;255;248;2
0;255;255;253;7
8;0;0;254;2
0;255;255;246;3
0;255;255;235;2
0;255;255;54;2
255;255;255;169;1
255;255;255;203;2
255;255;255;228;2
0;255;255;251;9
0;255;255;207;1
0;255;255;174;3
0;255;255;134;5
0;255;255;92;7
255;255;255;245;2
