R;G;B;A;Count
164;12;12;255;9
164;12;12;254;1
178;10;10;255;10
191;9;9;255;10
205;7;7;255;10
217;5;5;255;10
229;4;4;255;10
240;2;2;255;10
248;1;1;255;10
83;83;83;255;6777
67;67;67;255;940
187;187;187;255;9694
119;119;119;255;1314
80;45;38;255;3192
57;32;27;255;1690
40;22;19;255;1798
23;12;10;255;76
67;67;67;0;15
175;164;92;255;4566
114;106;55;255;2977
210;204;163;255;5633
74;69;35;255;1059
19;15;15;255;38
42;42;42;0;28
111;31;115;255;189
123;43;127;255;320
139;55;143;255;187
32;32;32;255;20
42;42;42;255;1402
32;32;32;0;4
114;106;55;0;3
31;31;31;0;535
146;39;143;255;2871
194;165;153;255;4089
228;221;232;255;18376
146;104;87;255;2473
119;110;148;255;344
190;186;204;255;705
101;72;60;255;795
182;73;0;0;1750
182;73;0;1;155
182;73;0;2;94
182;73;0;3;66
182;73;0;4;64
182;73;0;6;65
213;129;33;1;33
182;73;0;5;27
182;73;0;7;47
182;73;0;10;26
190;87;8;6;13
195;95;13;4;28
187;82;5;10;2
193;92;11;15;3
190;87;8;19;4
190;87;8;20;8
185;78;3;16;9
186;80;4;12;3
188;83;6;8;8
182;73;0;8;10
182;73;0;11;20
182;73;0;15;11
182;73;0;16;13
182;73;0;13;29
182;73;0;9;14
182;73;0;18;11
185;78;3;17;3
196;98;14;11;4
201;107;20;11;7
196;99;15;14;4
192;91;10;21;7
191;89;9;29;7
190;86;8;35;3
189;86;7;38;1
189;84;7;32;3
189;85;7;24;4
192;90;10;16;2
201;107;20;8;10
240;96;0;191;10
198;101;17;3;38
182;73;0;19;8
182;73;0;25;5
182;73;0;27;4
182;73;0;22;8
182;73;0;14;10
182;73;0;191;7
182;73;0;21;6
184;76;2;29;1
184;76;2;34;2
187;81;5;33;2
190;87;8;27;3
194;94;12;22;3
197;100;16;20;1
198;101;16;27;2
193;92;11;38;1
191;89;9;51;3
190;87;8;61;2
183;74;1;193;15
190;87;8;54;2
189;86;7;40;1
192;90;10;26;2
197;99;16;14;5
215;131;34;5;15
245;185;66;1;204
186;81;5;10;11
182;73;0;28;3
182;73;0;33;2
191;89;9;5;23
186;80;4;13;8
184;77;2;20;7
184;76;2;28;3
184;76;2;33;3
184;76;2;25;3
185;77;3;19;5
182;73;0;35;4
182;73;0;30;3
185;79;3;15;7
183;75;1;44;1
240;96;0;192;15
187;82;5;50;3
189;86;7;41;7
195;96;13;36;4
196;98;15;36;1
196;99;16;46;3
194;94;12;62;1
192;91;10;80;1
183;75;1;194;8
240;97;1;194;20
191;89;9;82;1
191;89;10;60;1
194;95;13;41;2
200;106;20;22;1
212;126;31;8;6
245;185;66;3;60
245;185;66;2;92
185;79;4;13;5
185;78;3;18;3
183;75;1;41;2
185;78;3;53;1
185;78;3;59;1
182;73;0;192;17
183;75;1;43;5
184;76;2;30;3
189;85;7;7;31
193;93;12;14;5
191;89;10;17;7
190;85;8;23;7
187;81;5;35;2
186;81;4;47;4
186;80;4;55;1
185;80;4;42;2
187;82;5;30;2
191;89;9;18;4
182;73;0;23;4
182;73;0;32;4
182;73;0;26;3
182;73;0;34;2
184;77;2;25;3
190;86;8;22;3
184;77;2;21;5
185;80;4;44;1
186;80;4;58;1
242;140;33;192;3
240;97;1;193;22
192;90;10;58;4
196;99;15;54;3
199;102;17;57;1
198;101;16;69;2
196;98;14;91;1
193;94;11;113;1
240;98;2;196;27
184;76;2;196;12
194;94;13;86;1
196;98;14;59;1
201;107;19;35;2
210;124;30;18;1
229;156;49;9;11
245;185;66;4;29
189;85;7;32;4
186;81;4;48;2
185;79;3;68;2
185;78;3;83;2
185;79;3;65;2
