R;G;B;A;Count;FileCount
182;73;0;33;2;1
191;89;9;5;23;1
186;80;4;13;8;1
184;77;2;20;7;1
184;76;2;28;3;1
184;76;2;33;3;1
184;76;2;25;3;1
185;77;3;19;5;1
182;73;0;35;4;1
182;73;0;191;7;1
182;73;0;30;3;1
183;75;1;44;1;1
240;96;0;192;15;1
187;82;5;50;3;1
189;86;7;41;7;1
195;96;13;36;4;1
196;98;15;36;1;1
196;99;16;46;3;1
194;94;12;62;1;1
192;91;10;80;1;1
183;75;1;194;8;1
240;97;1;194;20;1
191;89;9;82;1;1
191;89;10;60;1;1
194;95;13;41;2;1
200;106;20;22;1;1
212;126;31;8;6;1
245;185;66;3;60;1
245;185;66;2;100;1
185;79;4;13;5;1
185;78;3;18;3;1
183;75;1;41;2;1
185;78;3;53;1;1
185;78;3;59;1;1
182;73;0;192;17;1
183;75;1;43;5;1
184;76;2;30;3;1
189;85;7;7;31;1
193;93;12;14;5;1
191;89;10;17;7;1
190;85;8;23;7;1
187;81;5;35;2;1
186;81;4;47;4;1
186;80;4;55;1;1
185;80;4;42;2;1
187;82;5;30;2;1
191;89;9;18;4;1
182;73;0;23;4;1
182;73;0;32;4;1
182;73;0;26;3;1
185;80;4;44;1;1
186;80;4;58;1;1
242;140;33;192;3;1
240;97;1;193;22;1
192;90;10;58;4;1
196;99;15;54;3;1
199;102;17;57;1;1
198;101;16;69;2;1
196;98;14;91;1;1
193;94;11;113;1;1
240;98;2;196;27;1
184;76;2;196;12;1
194;94;13;86;1;1
196;98;14;59;1;1
201;107;19;35;2;1
210;124;30;18;1;1
229;156;49;9;11;1
245;185;66;4;29;1
189;85;7;32;4;1
186;81;4;48;2;1
185;79;3;68;2;1
185;78;3;83;2;1
185;79;3;65;2;1
185;80;4;45;2;1
188;84;6;26;4;1
195;96;14;12;6;1
207;118;27;6;4;1
211;125;31;5;8;1
207;117;26;8;3;1
191;89;10;27;4;1
190;87;8;33;1;1
188;84;6;35;2;1
189;86;7;29;6;1
205;113;24;7;13;1
215;132;34;6;6;1
197;100;16;17;1;1
190;87;8;32;1;1
187;82;5;49;2;1
187;82;5;65;1;1
187;81;5;56;5;1
188;83;6;39;1;1
191;89;10;23;6;1
231;160;51;3;20;1
185;79;3;15;7;1
184;77;2;25;3;1
245;185;66;191;2;1
183;75;1;36;4;1
184;76;2;27;3;1
187;81;5;32;3;1
186;81;4;49;1;1
245;185;66;193;4;1
242;141;34;194;5;1
195;96;13;72;2;1
199;104;17;74;3;1
201;106;19;82;1;1
199;104;18;99;1;1
197;101;15;124;1;1
184;77;3;199;7;1
240;99;3;199;31;1
242;142;34;199;8;1
240;99;2;198;23;1
197;101;15;115;1;1
200;105;18;82;1;1
203;110;22;52;1;1
212;126;31;31;1;1
222;145;42;16;6;1
193;92;11;19;1;1
188;84;6;48;2;1
188;83;6;75;1;1
186;81;4;99;1;1
186;79;4;87;1;1
187;82;5;59;2;1
194;95;12;17;6;1
221;143;41;4;1;1
222;145;43;6;8;1
221;141;41;8;2;1
212;126;31;14;2;1
201;106;19;24;3;1
